step,episodes,epsilon,train/ep_reward,train/ep_len,exploration/unique_obs,exploration/frontier_rate,loss/q,loss/b,recent_policy,eval_masked/mean_reward,eval_masked/success,eval_q/mean_reward,eval_q/success
41097,173,0.9610,0.0000,250,8,0.0000,0.000132,1.907951,eps,,,,
41347,174,0.9607,0.0000,250,27,0.0000,0.000079,1.961191,eps,,,,
41597,175,0.9605,0.0000,250,22,0.0000,0.000073,1.942316,eps,,,,
41847,176,0.9602,0.0000,250,17,0.0000,0.000048,1.967692,eps,,,,
42097,177,0.9600,0.0000,250,41,0.0080,0.013207,1.928532,eps,,,,
42347,178,0.9598,0.0000,250,18,0.0000,0.000044,1.952640,eps,,,,
42597,179,0.9595,0.0000,250,15,0.0000,0.000183,1.938264,eps,,,,
42847,180,0.9593,0.0000,250,11,0.0000,0.000046,1.958641,eps,,,,
43097,181,0.9591,0.0000,250,20,0.0000,0.000051,1.936268,eps,,,,
43347,182,0.9588,0.0000,250,23,0.0000,0.000040,1.958238,eps,,,,
43597,183,0.9586,0.0000,250,14,0.0000,0.000325,1.926536,eps,,,,
43847,184,0.9583,0.0000,250,16,0.0000,0.000093,1.947158,eps,,,,
44097,185,0.9581,0.0000,250,16,0.0000,0.000133,1.922483,eps,,,,
44347,186,0.9579,0.0000,250,30,0.0080,0.000233,1.915168,eps,,,,
44597,187,0.9576,0.0000,250,24,0.0000,0.000033,1.940803,eps,,,,
44847,188,0.9574,0.0000,250,39,0.0040,0.000092,1.935731,eps,,,,
45057,189,0.9572,0.2440,210,30,0.0000,0.000069,1.934284,eps,,,,
45307,190,0.9570,0.0000,250,30,0.0000,0.000037,1.938335,eps,,,,
45557,191,0.9567,0.0000,250,11,0.0000,0.000053,1.944608,eps,,,,
45807,192,0.9565,0.0000,250,20,0.0000,0.000113,1.934093,eps,,,,
46057,193,0.9562,0.0000,250,8,0.0000,0.000043,1.955008,eps,,,,
46307,194,0.9560,0.0000,250,34,0.0160,0.000109,1.958413,eps,,,,
46482,195,0.9558,0.3700,175,27,0.0171,0.000256,1.921909,cov(0.10),,,,
46667,196,0.9557,0.3340,185,27,0.0000,0.000035,1.923998,eps,,,,
46917,197,0.9554,0.0000,250,24,0.0000,0.000036,1.953277,eps,,,,
47018,198,0.9553,0.6364,101,21,0.0000,0.000032,1.941540,eps,,,,
47268,199,0.9551,0.0000,250,6,0.0000,0.000056,1.938830,eps,,,,
47518,200,0.9549,0.0000,250,21,0.0000,0.000194,1.942593,eps,,,,
47768,201,0.9546,0.0000,250,8,0.0000,0.000072,1.948047,eps,,,,
48018,202,0.9544,0.0000,250,34,0.0040,0.000106,1.938740,eps,,,,
48268,203,0.9541,0.0000,250,21,0.0000,0.012783,1.940537,eps,,,,
48518,204,0.9539,0.0000,250,27,0.0000,0.000172,1.945658,eps,,,,
48768,205,0.9537,0.0000,250,27,0.0000,0.000041,1.937447,eps,,,,
49018,206,0.9534,0.0000,250,28,0.0000,0.000089,1.946540,eps,,,,
49268,207,0.9532,0.0000,250,34,0.0000,0.000055,1.952862,eps,,,,
49518,208,0.9530,0.0000,250,22,0.0000,0.000067,1.936790,cov(0.10),,,,
49768,209,0.9527,0.0000,250,18,0.0000,0.000102,1.922688,eps,,,,
50000,209,,,,,,,,,0.0000,0.0000,0.0000,0.0000
50018,210,0.9525,0.0000,250,9,0.0000,0.012865,1.940481,eps,,,,
50268,211,0.9522,0.0000,250,38,0.0080,0.000038,1.947904,eps,,,,
50518,212,0.9520,0.0000,250,22,0.0000,0.000036,1.954739,eps,,,,
50768,213,0.9518,0.0000,250,28,0.0000,0.000168,1.943467,eps,,,,
51018,214,0.9515,0.0000,250,9,0.0000,0.000111,1.955626,eps,,,,
51268,215,0.9513,0.0000,250,35,0.0000,0.000115,1.947031,eps,,,,
51518,216,0.9511,0.0000,250,21,0.0000,0.000109,1.940768,eps,,,,
51768,217,0.9508,0.0000,250,17,0.0000,0.000093,1.931205,eps,,,,
52018,218,0.9506,0.0000,250,35,0.0000,0.000043,1.946745,eps,,,,
52268,219,0.9503,0.0000,250,38,0.0000,0.000035,1.922810,eps,,,,
52518,220,0.9501,0.0000,250,32,0.0000,0.000115,1.941574,eps,,,,
52768,221,0.9499,0.0000,250,8,0.0000,0.000114,1.920927,eps,,,,
53018,222,0.9496,0.0000,250,25,0.0000,0.000048,1.943076,eps,,,,
53268,223,0.9494,0.0000,250,21,0.0000,0.000041,1.953721,eps,,,,
53518,224,0.9492,0.0000,250,16,0.0000,0.000056,1.946293,eps,,,,
53768,225,0.9489,0.0000,250,37,0.0040,0.000170,1.944930,eps,,,,
54018,226,0.9487,0.0000,250,14,0.0000,0.000026,1.940941,eps,,,,
54268,227,0.9484,0.0000,250,30,0.0000,0.000240,1.939174,eps,,,,
54518,228,0.9482,0.0000,250,38,0.0080,0.000106,1.955821,eps,,,,
54684,229,0.9481,0.4024,166,25,0.0000,0.000082,1.956098,eps,,,,
54889,230,0.9479,0.2620,205,26,0.0000,0.000128,1.936624,eps,,,,
55139,231,0.9476,0.0000,250,31,0.0000,0.000044,1.942680,eps,,,,
55389,232,0.9474,0.0000,250,12,0.0000,0.012333,1.963978,eps,,,,
55639,233,0.9471,0.0000,250,24,0.0000,0.000089,1.943097,eps,,,,
55889,234,0.9469,0.0000,250,21,0.0000,0.000082,1.950382,eps,,,,
56139,235,0.9467,0.0000,250,27,0.0000,0.000027,1.958102,eps,,,,
56389,236,0.9464,0.0000,250,16,0.0000,0.000098,1.947177,eps,,,,
56639,237,0.9462,0.0000,250,22,0.0000,0.000054,1.937453,eps,,,,
56889,238,0.9460,0.0000,250,18,0.0000,0.000058,1.932919,eps,,,,
57139,239,0.9457,0.0000,250,18,0.0000,0.000072,1.952796,eps,,,,
57214,240,0.9456,0.7300,75,25,0.0000,0.000096,1.950901,eps,,,,
57464,241,0.9454,0.0000,250,22,0.0000,0.000062,1.953290,eps,,,,
57714,242,0.9452,0.0000,250,13,0.0000,0.000083,1.965425,eps,,,,
57964,243,0.9449,0.0000,250,12,0.0000,0.000100,1.959087,eps,,,,
58214,244,0.9447,0.0000,250,28,0.0000,0.000108,1.929743,eps,,,,
58464,245,0.9445,0.0000,250,29,0.0000,0.000125,1.936668,eps,,,,
58714,246,0.9442,0.0000,250,29,0.0000,0.012088,1.939288,eps,,,,
58864,247,0.9441,0.4600,150,27,0.0067,0.000034,1.942575,eps,,,,
58956,248,0.9440,0.6688,92,15,0.0000,0.000090,1.948043,eps,,,,
59206,249,0.9438,0.0000,250,33,0.0000,0.000135,1.942919,eps,,,,
59456,250,0.9435,0.0000,250,28,0.0000,0.011706,1.946277,eps,,,,
59706,251,0.9433,0.0000,250,12,0.0000,0.000029,1.933559,eps,,,,
59956,252,0.9430,0.0000,250,23,0.0000,0.000045,1.943764,eps,,,,
60206,253,0.9428,0.0000,250,22,0.0000,0.013985,1.941851,eps,,,,
60456,254,0.9426,0.0000,250,30,0.0000,0.000200,1.934226,eps,,,,
60706,255,0.9423,0.0000,250,34,0.0120,0.000260,1.961896,cov(0.10),,,,
60956,256,0.9421,0.0000,250,34,0.0000,0.000015,1.942610,eps,,,,
61173,257,0.9419,0.2188,217,27,0.0000,0.000108,1.942430,eps,,,,
61423,258,0.9416,0.0000,250,30,0.0000,0.000097,1.953458,eps,,,,
61673,259,0.9414,0.0000,250,20,0.0000,0.000035,1.947261,eps,,,,
61923,260,0.9412,0.0000,250,41,0.0000,0.000141,1.930759,cov(0.10),,,,
62173,261,0.9409,0.0000,250,12,0.0000,0.000062,1.938287,eps,,,,
62423,262,0.9407,0.0000,250,16,0.0000,0.000202,1.929901,eps,,,,
62673,263,0.9405,0.0000,250,24,0.0040,0.000031,1.922792,eps,,,,
62923,264,0.9402,0.0000,250,35,0.0000,0.000051,1.960145,eps,,,,
63173,265,0.9400,0.0000,250,22,0.0000,0.012663,1.966552,eps,,,,
63423,266,0.9397,0.0000,250,23,0.0000,0.000119,1.948373,eps,,,,
63673,267,0.9395,0.0000,250,20,0.0000,0.000159,1.982021,eps,,,,
63923,268,0.9393,0.0000,250,15,0.0000,0.000150,1.922704,cov(0.10),,,,
64173,269,0.9390,0.0000,250,25,0.0000,0.000145,1.919717,eps,,,,
64423,270,0.9388,0.0000,250,25,0.0000,0.000173,1.940149,eps,,,,
64673,271,0.9386,0.0000,250,18,0.0000,0.000104,1.951759,eps,,,,
64923,272,0.9383,0.0000,250,18,0.0000,0.000099,1.929246,eps,,,,
65173,273,0.9381,0.0000,250,22,0.0000,0.000070,1.957458,eps,,,,
